iterations train_time run_time grad_norm loss accuracy
7.500000000000000000e+03 8.633212702274322510e+02 1.016103935003280640e+03 1.626789593293579417e+00 4.406916935072322516e-01 9.076500000000000679e-01
7.501000000000000000e+03 8.666354515552520752e+02 1.021687990665435791e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.502000000000000000e+03 8.666842908859252930e+02 1.021736829996109009e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.503000000000000000e+03 8.667392487525939941e+02 1.021791787862777710e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.504000000000000000e+03 8.667862272262573242e+02 1.021838766336441040e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.505000000000000000e+03 8.668358263969421387e+02 1.021888365507125854e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.506000000000000000e+03 8.668816092014312744e+02 1.021934148311614990e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.507000000000000000e+03 8.669303083419799805e+02 1.021982847452163696e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.508000000000000000e+03 8.669784851074218750e+02 1.022031024217605591e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.509000000000000000e+03 8.670237350463867188e+02 1.022076274156570435e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.510000000000000000e+03 8.670716164112091064e+02 1.022124155521392822e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.511000000000000000e+03 8.671224877834320068e+02 1.022175026893615723e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.512000000000000000e+03 8.671650347709655762e+02 1.022217573881149292e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.513000000000000000e+03 8.672113656997680664e+02 1.022263904809951782e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.514000000000000000e+03 8.672586009502410889e+02 1.022311140060424805e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515000000000000000e+03 8.673070306777954102e+02 1.022359569787979126e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.516000000000000000e+03 8.673564519882202148e+02 1.022408991098403931e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.517000000000000000e+03 8.674106445312500000e+02 1.022463183641433716e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.518000000000000000e+03 8.674623401165008545e+02 1.022514879226684570e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.519000000000000000e+03 8.675201575756072998e+02 1.022572696685791016e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.520000000000000000e+03 8.675696067810058594e+02 1.022622145891189575e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.521000000000000000e+03 8.676189651489257812e+02 1.022671504259109497e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.522000000000000000e+03 8.676751167774200439e+02 1.022727655887603760e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.523000000000000000e+03 8.677275435924530029e+02 1.022780082702636719e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.524000000000000000e+03 8.677795670032501221e+02 1.022832106113433838e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.525000000000000000e+03 8.678284864425659180e+02 1.022881025552749634e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.526000000000000000e+03 8.678777072429656982e+02 1.022930246353149414e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.527000000000000000e+03 8.679297919273376465e+02 1.022982331037521362e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.528000000000000000e+03 8.679827649593353271e+02 1.023035304069519043e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.529000000000000000e+03 8.680321841239929199e+02 1.023084723234176636e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.530000000000000000e+03 8.680844030380249023e+02 1.023136942148208618e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.531000000000000000e+03 8.681394331455230713e+02 1.023191972255706787e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.532000000000000000e+03 8.681770219802856445e+02 1.023229561090469360e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.533000000000000000e+03 8.682249212265014648e+02 1.023277460336685181e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.534000000000000000e+03 8.682696685791015625e+02 1.023322207689285278e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.535000000000000000e+03 8.682893283367156982e+02 1.023341867446899414e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.536000000000000000e+03 8.683384404182434082e+02 1.023390979528427124e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.537000000000000000e+03 8.683864431381225586e+02 1.023438982248306274e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.538000000000000000e+03 8.684390981197357178e+02 1.023491637229919434e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.539000000000000000e+03 8.684915509223937988e+02 1.023544090032577515e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.540000000000000000e+03 8.685408675670623779e+02 1.023593406677246094e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.541000000000000000e+03 8.685853455066680908e+02 1.023637884616851807e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.542000000000000000e+03 8.686355953216552734e+02 1.023688134431838989e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.543000000000000000e+03 8.686901240348815918e+02 1.023742663145065308e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.544000000000000000e+03 8.687426538467407227e+02 1.023795192956924438e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.545000000000000000e+03 8.687885642051696777e+02 1.023841103315353394e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.546000000000000000e+03 8.688385884761810303e+02 1.023891127586364746e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.547000000000000000e+03 8.688916447162628174e+02 1.023944183826446533e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.548000000000000000e+03 8.689473593235015869e+02 1.023999898433685303e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.549000000000000000e+03 8.689992265701293945e+02 1.024051765680313110e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.550000000000000000e+03 8.690557649135589600e+02 1.024108304023742676e+03 1.625276467848371764e+00 4.395180900095189136e-01 9.078333333333333810e-01
7.551000000000000000e+03 8.723286120891571045e+02 1.027381151199340820e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.552000000000000000e+03 8.723767008781433105e+02 1.027429239988327026e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.553000000000000000e+03 8.724321343898773193e+02 1.027484673500061035e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.554000000000000000e+03 8.724790859222412109e+02 1.027531625032424927e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.555000000000000000e+03 8.725265622138977051e+02 1.027579101324081421e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.556000000000000000e+03 8.725734834671020508e+02 1.027626022577285767e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.557000000000000000e+03 8.726257090568542480e+02 1.027678248167037964e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.558000000000000000e+03 8.726756470203399658e+02 1.027728186130523682e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.559000000000000000e+03 8.727287728786468506e+02 1.027781311988830566e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.560000000000000000e+03 8.727844414710998535e+02 1.027836980581283569e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.561000000000000000e+03 8.728264112472534180e+02 1.027878950357437134e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.562000000000000000e+03 8.728833327293395996e+02 1.027935871839523315e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.563000000000000000e+03 8.729312834739685059e+02 1.027983822584152222e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.564000000000000000e+03 8.729776520729064941e+02 1.028030191183090210e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.565000000000000000e+03 8.730295696258544922e+02 1.028082108736038208e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.566000000000000000e+03 8.730749542713165283e+02 1.028127493381500244e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.567000000000000000e+03 8.731243953704833984e+02 1.028176934480667114e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.568000000000000000e+03 8.731757450103759766e+02 1.028228284120559692e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.569000000000000000e+03 8.732233672142028809e+02 1.028275906324386597e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.570000000000000000e+03 8.732777187824249268e+02 1.028330257892608643e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.571000000000000000e+03 8.733282701969146729e+02 1.028380809307098389e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.572000000000000000e+03 8.733846237659454346e+02 1.028437162876129150e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.573000000000000000e+03 8.734334616661071777e+02 1.028486000776290894e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.574000000000000000e+03 8.734799578189849854e+02 1.028532496929168701e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
